date,name,category,value
2020-07-07,Mooncoin,Proof of Work (PoW),8
2020-07-07,Metaverse ETP,Identity,8
2020-07-07,Bluzelle,Storage,8
2020-07-07,Propy,Real Estate,8
2020-07-07,Capricoin+,Uncategorized,8
2020-07-07,Gifto,Uncategorized,7
2020-07-07,Aeon,Privacy,7
2020-07-07,Polis,Proof of Work (PoW),7
2020-07-07,OST,Computing,7
2020-07-07,TenX,Financial Service,7
2020-07-07,Peercoin,Proof of Work (PoW),7
2020-07-07,Monero Classic,Proof of Work (PoW),7
2020-07-07,Po.et,Uncategorized,7
2020-07-07,Electra,Proof of Work (PoW),7
2020-07-07,Quark,Proof of Work (PoW),7
2020-07-07,Achain,Proof of Stake (PoS),7
2020-07-07,Credits,Financial Service,6
2020-07-07,Endor Protocol,Prediction,6
2020-07-07,Asch,Proof of Work (PoW),6
2020-07-07,ALQO,Proof of Work (PoW),6
2020-07-07,Particl,Marketplace,6
2020-07-07,MOAC,Uncategorized,6
2020-07-07,XTRABYTES,Uncategorized,6
2020-07-07,BnkToTheFuture,Investing Tool,6
2020-07-07,Steem Dollars,Social,6
2020-07-07,Ruff,IoT,6
2020-07-07,Namecoin,Proof of Work (PoW),5
2020-07-07,GameCredits,Gaming,5
2020-07-07,SIRIN LABS Token,Uncategorized,5
2020-07-07,SALT,Financial Service,5
2020-07-07,Mithril,Gaming,5
2020-07-07,SmartMesh,Uncategorized,5
2020-07-07,Wagerr,Gambling,5
2020-07-07,Genesis Vision,Uncategorized,5
2020-07-07,Tokenomy,Crowdfunding,5
2020-07-07,Pillar,Uncategorized,5
2020-07-07,Revain,Uncategorized,5
2020-07-07,Lightning Bitcoin,Proof of Work (PoW),5
2020-07-07,Viacoin,Proof of Work (PoW),5
2020-07-07,Gulden,Proof of Work (PoW),5
2020-07-07,ProximaX,Business Service,5
2020-07-07,Ubiq,Proof of Work (PoW),4
2020-07-07,High Performance Blockchain,Software,4
2020-07-07,bitCNY,Stablecoin,4
2020-07-07,SmartCash,Proof of Stake (PoS),4
2020-07-07,FLO,Proof of Work (PoW),4
2020-07-07,POA,Uncategorized,4
2020-07-07,Lykke,Exchange,4
2020-07-07,Ondori,Proof of Stake (PoS),3
2020-07-07,BOX Token,Uncategorized,3
2020-07-07,ColossusXT,Proof of Stake (PoS),3
2020-07-07,SONM,Computing,3
2020-07-07,HTMLCOIN,Proof of Work (PoW),3
2020-07-07,Bitcore,Uncategorized,3
2020-07-07,Dentacoin,Healthcare,3
2020-07-07,Matrix AI Network,AI,3
